ref,name,country,continent,knownFor,tags,imageUrl
belize,Belize,Belize,North America,"Embark on an unforgettable adventure in Belize, a Central American gem boasting lush rainforests, ancient Maya ruins, and the world's second-largest barrier reef.  Explore the mysteries of Caracol and Xunantunich, dive into the Great Blue Hole, and discover diverse marine life.  Belize offers a unique blend of cultural exploration and eco-tourism.","['Jungle', 'Historic', 'Scuba diving']",https://storage.googleapis.com/tripedia-images/destinations/belize.jpg
bhutan,Bhutan,Bhutan,Asia,"Discover the mystical kingdom of Bhutan, nestled in the Himalayas. Explore ancient monasteries, hike through pristine valleys, and experience the unique culture and traditions. Immerse yourself in the spiritual atmosphere and embrace the concept of Gross National Happiness.","['Mountain', 'Cultural experiences', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/bhutan.jpg
big-island-hawaii,Big Island,United States,North America,"The Big Island of Hawaii offers diverse landscapes, from volcanic craters and black sand beaches to lush rainforests and snow-capped mountains. Visitors can witness the fiery glow of Kilauea volcano, snorkel with manta rays, and stargaze atop Mauna Kea.","['Island', 'Hiking', 'Snorkeling']",https://storage.googleapis.com/tripedia-images/destinations/big-island-hawaii.jpg
big-sur,Big Sur,United States,North America,"Experience the breathtaking beauty of California's rugged coastline along Big Sur. Drive the iconic Pacific Coast Highway, stopping at dramatic cliffs, hidden coves, and redwood forests. Enjoy hiking, camping, or simply soaking up the awe-inspiring views of this natural wonderland.","['Road trip destination', 'Secluded', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/big-sur.jpg
bora-bora,Bora Bora,French Polynesia,Oceania,"Bora Bora is synonymous with luxury and tranquility. Overwater bungalows perched above turquoise lagoons offer a unique and indulgent experience. Visitors can enjoy snorkeling, diving, and swimming amidst vibrant coral reefs and diverse marine life. The island's lush interior provides opportunities for hiking and exploring, while Polynesian culture adds a touch of exotic charm.","['Island', 'Luxury', 'Secluded']",https://storage.googleapis.com/tripedia-images/destinations/bora-bora.jpg
botswana,Okavango Delta,Botswana,Africa,"The Okavango Delta, a unique inland delta in Botswana, is a haven for wildlife enthusiasts. Visitors can embark on safari adventures, encountering elephants, lions, hippos, and a diverse array of birds. The delta's waterways offer opportunities for mokoro (canoe) excursions and boat tours, providing a close-up view of the abundant wildlife and stunning landscapes.","['Wildlife watching', 'Adventure sports', 'Luxury']",https://storage.googleapis.com/tripedia-images/destinations/botswana.jpg
bruges,Bruges,Belgium,Europe,"Step back in time in this charming medieval city with its cobblestone streets, canals, and well-preserved architecture. Explore the historic Markt square, indulge in delicious Belgian chocolate and beer, or take a boat tour through the canals. Bruges offers a romantic and picturesque escape for history buffs and those seeking a quintessential European experience.","['City', 'Historic', 'Romantic']",https://storage.googleapis.com/tripedia-images/destinations/bruges.jpg
brunei,Brunei,Brunei,Asia,"This small sultanate on the island of Borneo offers a fascinating blend of culture and nature.  Visitors can explore the opulent Sultan Omar Ali Saifuddin Mosque, delve into the lush rainforests, and discover the unique water village of Kampong Ayer.","['Secluded', 'Cultural experiences', 'Island']",https://storage.googleapis.com/tripedia-images/destinations/brunei.jpg
budapest,Budapest,Hungary,Europe,"Discover the charm of Budapest, a historic city divided by the Danube River. Explore Buda's Castle District with its medieval streets and Fisherman's Bastion, offering panoramic views. Relax in the thermal baths, a legacy of the Ottoman era, or visit the Hungarian Parliament Building, a stunning example of Gothic Revival architecture.","['City', 'Historic', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/budapest.jpg
burgundy,Burgundy,France,Europe,"Burgundy, a region in eastern France, is renowned for its world-class wines, charming villages, and rich history. Explore vineyards, indulge in wine tastings, and visit medieval castles and abbeys. Cycle through rolling hills, savor gourmet cuisine, and experience the art de vivre of this picturesque region.","['Rural', 'Wine tasting', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/burgundy.jpg
cambodia,Cambodia,Cambodia,Asia,"Cambodia, a Southeast Asian nation, is a captivating blend of ancient wonders, natural beauty, and vibrant culture. Explore the magnificent temples of Angkor, relax on pristine beaches, and cruise along the Mekong River. Experience the warmth of the Cambodian people, savor delicious cuisine, and discover the rich history of this fascinating country.","['Historic', 'Cultural experiences', 'Beach']",https://storage.googleapis.com/tripedia-images/destinations/cambodia.jpg
canadian-rockies,Canadian Rockies,Canada,North America,"Embark on an adventure through the majestic Canadian Rockies, where towering mountains, turquoise lakes, and glaciers create a breathtaking landscape. Hike through scenic trails, go skiing or snowboarding in world-class resorts, and encounter diverse wildlife. Experience the thrill of outdoor activities and the beauty of untouched nature.","['Mountain', 'Hiking', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/canadian-rockies.jpg
canary-islands,Canary Islands,Spain,Europe,"Discover the volcanic beauty of the Canary Islands, a Spanish archipelago off the coast of Africa.  Explore diverse landscapes, from the dramatic volcanic peaks of Tenerife and Mount Teide to the golden beaches of Gran Canaria and Fuerteventura.  Enjoy water sports, hiking, and stargazing in this island paradise.","['Island', 'Beach', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/canary-islands.jpg
cappadocia,Cappadocia,Turkey,Asia,"Embark on a magical journey through a surreal landscape of fairy chimneys, cave dwellings, and underground cities. Soar above the valleys in a hot air balloon, explore ancient rock-cut churches, and experience the unique culture and hospitality of the region.","['Historic', 'Off-the-beaten-path', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/cappadocia.jpg
chilean-lake-district,Chilean Lake District,Chile,South America,"The Chilean Lake District is a paradise for nature lovers, with snow-capped volcanoes, turquoise lakes, and lush forests. Hike in national parks, go kayaking on the lakes, and enjoy the tranquility of the surroundings. The region's German heritage adds a unique cultural element.","['Lake', 'Mountain', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/chilean-lake-district.jpg
cinque-terre,Cinque Terre,Italy,Europe,"Explore the picturesque villages of Cinque Terre, perched on the rugged Italian Riviera coastline. Hike the scenic trails connecting the five colorful towns, each with its unique character. Enjoy fresh seafood, local wines, and breathtaking views of the Mediterranean Sea.","['Hiking', 'Coastal', 'Foodie']",https://storage.googleapis.com/tripedia-images/destinations/cinque-terre.jpg
colombia,Colombia,Colombia,South America,"Colombia is a vibrant country with a diverse landscape, ranging from the Andes Mountains to the Caribbean coast. Explore the colonial city of Cartagena, hike in the Cocora Valley, or dance the night away in Medellín. Discover the coffee region, learn about the indigenous cultures, and experience the warmth of the Colombian people.","['City', 'Mountain', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/colombia.jpg
corsica,Corsica,France,Europe,"This mountainous Mediterranean island offers a diverse landscape of rugged mountains, pristine beaches, and charming villages.  Visitors can enjoy hiking, water sports, exploring historical sites, and experiencing the unique Corsican culture.","['Mountain', 'Beach', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/corsica.jpg
costa-rica,Osa Peninsula,Costa Rica,North America,"A haven for eco-tourism, the Osa Peninsula boasts incredible biodiversity, lush rainforests, and pristine beaches. Adventure seekers can go zip-lining, kayaking, and hiking, while nature enthusiasts can spot monkeys, sloths, and exotic birds. The Corcovado National Park, known as one of the most biodiverse places on Earth, is a must-visit for wildlife watching.","['Jungle', 'Secluded', 'Wildlife watching']",https://storage.googleapis.com/tripedia-images/destinations/costa-rica.jpg
dubai,Dubai,United Arab Emirates,Asia,"Dubai is a modern metropolis known for its towering skyscrapers, luxurious shopping malls, and extravagant attractions.  Visitors can experience the thrill of the Burj Khalifa, the world's tallest building, shop at the Dubai Mall, or enjoy a desert safari. With its vibrant nightlife and world-class dining scene, Dubai offers a truly cosmopolitan experience.","['City', 'Luxury', 'Shopping']",https://storage.googleapis.com/tripedia-images/destinations/dubai.jpg
dubrovnik,Dubrovnik,Croatia,Europe,"Dubrovnik, the ""Pearl of the Adriatic"", is a historic walled city renowned for its stunning architecture, ancient city walls, and breathtaking coastal views.  Visitors can explore historical sites, enjoy boat trips, and experience the vibrant cultural scene.","['Historic', 'Sightseeing', 'City']",https://storage.googleapis.com/tripedia-images/destinations/dubrovnik.jpg
ethiopia,Ethiopia,Ethiopia,Africa,"Ethiopia, a landlocked country in the Horn of Africa, is a unique destination with ancient history, diverse landscapes, and rich culture. Explore the rock-hewn churches of Lalibela, trek through the Simien Mountains, and witness the vibrant tribal traditions. From bustling cities to remote villages, Ethiopia offers an unforgettable journey.","['Off-the-beaten-path', 'Cultural experiences', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/ethiopia.jpg
fiesole,Fiesole,Italy,Europe,"Step back in time in Fiesole, a charming hilltop town overlooking Florence, Italy.  Explore Etruscan and Roman ruins, visit the beautiful Fiesole Cathedral, and wander through quaint streets lined with historic buildings.  Enjoy breathtaking views of the Tuscan countryside and escape the hustle and bustle of Florence.","['Historic', 'Rural', 'Romantic']",https://storage.googleapis.com/tripedia-images/destinations/fiesole.jpg
fiji,Fiji,Fiji,Oceania,"Fiji, an archipelago in the South Pacific, is renowned for its pristine beaches, crystal-clear waters, and lush rainforests. Visitors can indulge in water activities like snorkeling, scuba diving, and surfing, or explore the islands' rich cultural heritage and traditions. Fiji is also a popular destination for honeymoons and romantic getaways.","['Island', 'Beach', 'Scuba diving']",https://storage.googleapis.com/tripedia-images/destinations/fiji.jpg
french-alps,French Alps,France,Europe,"The French Alps offer stunning mountain scenery, charming villages, and world-class skiing. During the winter months, hit the slopes in renowned resorts like Chamonix and Val d'Isère. In the summer, enjoy hiking, mountain biking, and paragliding.","['Mountain', 'Skiing', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/french-alps.jpg
french-polynesia,French Polynesia,France,Oceania,"Escape to the paradise of French Polynesia, where overwater bungalows, turquoise lagoons, and pristine beaches await. Dive into the vibrant underwater world, explore volcanic landscapes, and experience Polynesian culture. Indulge in luxury resorts, romantic getaways, and unforgettable island hopping adventures.","['Tropical', 'Island', 'Luxury']",https://storage.googleapis.com/tripedia-images/destinations/french-polynesia.jpg
french-riviera,French Riviera,France,Europe,"Discover the glamour of the French Riviera, where glamorous beaches, luxury yachts, and charming coastal towns line the Mediterranean coast. Explore the vibrant city of Nice, visit the iconic Monte Carlo casino, and soak up the sun on the beaches of Cannes. Experience the region's luxurious lifestyle, stunning scenery, and vibrant nightlife.","['Beach', 'Luxury', 'Nightlife']",https://storage.googleapis.com/tripedia-images/destinations/french-riviera.jpg
galapagos-islands,Galapagos Islands,Ecuador,South America,"Embark on a once-in-a-lifetime adventure to the Galapagos Islands, a living laboratory of evolution. Observe unique wildlife, including giant tortoises, marine iguanas, and blue-footed boobies. Go snorkeling or diving among vibrant coral reefs and explore volcanic landscapes.","['Island', 'Wildlife watching', 'Scuba diving']",https://storage.googleapis.com/tripedia-images/destinations/galapagos-islands.jpg
galicia,Galicia,Spain,Europe,"This region in northwestern Spain boasts rugged coastlines, green landscapes, and a rich Celtic heritage.  Visitors can enjoy fresh seafood, explore charming towns, embark on the Camino de Santiago pilgrimage, and discover the unique Galician culture.","['Hiking', 'Cultural experiences', 'Foodie']",https://storage.googleapis.com/tripedia-images/destinations/galicia.jpg
grand-canyon,Grand Canyon,United States,North America,"Witness the awe-inspiring vastness and natural beauty of the Grand Canyon, a UNESCO World Heritage Site. Hike along the rim for breathtaking panoramic views, descend into the canyon for a challenging adventure, or raft down the Colorado River. The Grand Canyon offers an unforgettable experience for nature enthusiasts and adventure seekers.","['Mountain', 'Hiking', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/grand-canyon.jpg
great-barrier-reef,Great Barrier Reef,Australia,Australia,"The Great Barrier Reef is the world's largest coral reef system, teeming with marine life. Snorkel or scuba dive among colorful corals, spot tropical fish, and experience the underwater wonders of this natural treasure.","['Snorkeling', 'Scuba diving', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/great-barrier-reef.jpg
great-bear-rainforest,Great Bear Rainforest,Canada,North America,"The Great Bear Rainforest is a vast and pristine wilderness area on the Pacific coast of British Columbia.  It is home to a diverse array of wildlife, including grizzly bears, black bears, wolves, and whales.  Visitors can explore the rainforest by boat, kayak, or on foot, and experience the magic of this untouched ecosystem.","['Wildlife watching', 'Hiking', 'Eco-conscious']",https://storage.googleapis.com/tripedia-images/destinations/great-bear-rainforest.jpg
greek-islands,Greek Islands,Greece,Europe,"Island hop through the Greek Islands, each with its own unique charm and allure. Explore ancient ruins, relax on pristine beaches, and indulge in delicious Greek cuisine. Experience the vibrant nightlife of Mykonos, the romantic sunsets of Santorini, and the historical treasures of Crete. Discover a world of crystal-clear waters, whitewashed villages, and endless sunshine.","['Island', 'Beach', 'Historic']",https://storage.googleapis.com/tripedia-images/destinations/greek-islands.jpg
greenland,Ilulissat Icefjord,Greenland,North America,"Ilulissat Icefjord is a UNESCO World Heritage site and a breathtaking natural wonder with massive icebergs calving from the Sermeq Kujalleq glacier. Visitors can take boat tours to witness the stunning ice formations, go hiking in the surrounding area, and experience the unique culture of Greenland.","['Off-the-beaten-path', 'Adventure sports', 'Wildlife watching']",https://storage.googleapis.com/tripedia-images/destinations/greenland.jpg
guadeloupe,Guadeloupe,France,North America,"Guadeloupe, a butterfly-shaped archipelago in the Caribbean, is a French overseas territory boasting stunning natural landscapes. With its lush rainforests, volcanic peaks, and white-sand beaches, it's a paradise for outdoor enthusiasts. Hike to cascading waterfalls, explore vibrant coral reefs, and savor the unique blend of French and Creole culture.","['Island', 'Tropical', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/guadeloupe.jpg
guatemala,Lake Atitlán,Guatemala,North America,"Lake Atitlán, surrounded by volcanoes and traditional Mayan villages, offers a scenic and cultural experience in Guatemala. Visitors can explore the lakeside towns, hike to viewpoints, visit Mayan ruins, and learn about local traditions. The lake also provides opportunities for kayaking, swimming, and boat trips.","['Lake', 'Cultural experiences', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/guatemala.jpg
ha-long-bay,Ha Long Bay,Vietnam,Asia,"Ha Long Bay is a breathtaking UNESCO World Heritage Site, featuring thousands of limestone islands and islets rising from emerald waters. Visitors can cruise through the bay, explore hidden caves, kayak among the karst formations, and experience the unique beauty of this natural wonder.","['Island', 'Secluded', 'Sightseeing']",https://storage.googleapis.com/tripedia-images/destinations/ha-long-bay.jpg
harrisburg,Harrisburg,USA,North America,"Discover the charm of Harrisburg, Pennsylvania's historic capital city.  Explore the impressive Pennsylvania State Capitol Building, delve into history at the National Civil War Museum, and enjoy family fun at City Island.  With its scenic riverfront location, Harrisburg offers a blend of cultural attractions and outdoor activities.","['City', 'Historic', 'Family-friendly']",https://storage.googleapis.com/tripedia-images/destinations/harrisburg.jpg
havana,Havana,Cuba,North America,"Step back in time in Havana, the vibrant capital of Cuba. Stroll along the Malecón, a seaside promenade, and admire the colorful vintage cars. Explore Old Havana, a UNESCO World Heritage Site, with its colonial architecture and lively squares. Immerse yourself in Cuban culture, music, and dance.","['City', 'Historic', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/havana.jpg
ho-chi-minh-city,Ho Chi Minh City,Vietnam,Asia,"Ho Chi Minh City is a vibrant metropolis with a rich history and delicious street food. Explore the bustling markets, visit historical landmarks like the Cu Chi Tunnels, and immerse yourself in the city's energetic atmosphere. The blend of French colonial architecture and modern skyscrapers creates a unique cityscape.","['City', 'Cultural experiences', 'Food tours']",https://storage.googleapis.com/tripedia-images/destinations/ho-chi-minh-city.jpg
iceland,Iceland,Iceland,Europe,"Iceland's dramatic landscapes include glaciers, volcanoes, geysers, and waterfalls. Explore the Golden Circle, relax in geothermal pools, and witness the Northern Lights in winter.","['Secluded', 'Adventure sports', 'Winter destination']",https://storage.googleapis.com/tripedia-images/destinations/iceland.jpg
japan-alps,Japanese Alps,Japan,Asia,"The Japanese Alps offer stunning mountain scenery, traditional villages, and outdoor adventures. Hike through the Kamikochi Valley, ski in Hakuba, or soak in the onsen hot springs. Visit Matsumoto Castle, a historic landmark, and experience the unique culture of the mountain communities.","['Mountain', 'Hiking', 'Skiing']",https://storage.googleapis.com/tripedia-images/destinations/japan-alps.jpg
jeju-island,Jeju Island,South Korea,Asia,"Escape to the volcanic paradise of Jeju Island, a popular destination off the coast of South Korea.  Discover stunning natural landscapes, from volcanic craters and lava tubes to pristine beaches and waterfalls.  Explore unique museums, hike Mount Hallasan, and relax in charming coastal towns.","['Island', 'Hiking', 'Secluded']",https://storage.googleapis.com/tripedia-images/destinations/jeju-island.jpg
jordan,Petra,Jordan,Asia,"Petra, an ancient city carved into rose-colored sandstone cliffs, is a UNESCO World Heritage site and one of the New Seven Wonders of the World. Visitors can marvel at the Treasury, explore the Siq, and discover hidden tombs and temples. Petra offers a glimpse into the fascinating history and culture of the Nabataean civilization.","['Historic', 'Cultural experiences', 'Off-the-beaten-path']",https://storage.googleapis.com/tripedia-images/destinations/jordan.jpg
kauai,Kauai,United States,North America,"Escape to the Garden Isle of Kauai, a paradise of lush rainforests, dramatic cliffs, and pristine beaches. Hike the challenging Kalalau Trail along the Na Pali Coast, kayak the Wailua River, or relax on Poipu Beach. Discover hidden waterfalls, explore Waimea Canyon, and experience the island's laid-back atmosphere.","['Island', 'Hiking', 'Beach']",https://storage.googleapis.com/tripedia-images/destinations/kauai.jpg
kenya,Kenya,Kenya,Africa,"Embark on an unforgettable safari adventure in Kenya, home to diverse wildlife and stunning landscapes. Witness the Great Migration, encounter lions, elephants, and rhinos, and experience the rich culture of the Maasai people.","['Wildlife watching', 'Safari', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/kenya.jpg
kyoto,Kyoto,Japan,Asia,"Kyoto, Japan's former capital, is a cultural treasure trove with numerous temples, shrines, and gardens. Experience traditional tea ceremonies, stroll through the Arashiyama Bamboo Grove, and immerse yourself in Japanese history and spirituality.","['Historic', 'Cultural experiences', 'City']",https://storage.googleapis.com/tripedia-images/destinations/kyoto.jpg
lake-bled,Lake Bled,Slovenia,Europe,"Nestled in the Julian Alps, Lake Bled is a fairytale-like destination with a stunning glacial lake, a charming island church, and a medieval castle perched on a cliff. Visitors can enjoy swimming, boating, hiking, and exploring the surrounding mountains. Bled is also known for its delicious cream cake and thermal springs.","['Lake', 'Mountain', 'Romantic']",https://storage.googleapis.com/tripedia-images/destinations/lake-bled.jpg
lake-como,Lake Como,Italy,Europe,"Escape to the picturesque shores of Lake Como, surrounded by charming villages, luxurious villas, and stunning mountain scenery. Take a boat tour on the lake, explore historic gardens, and indulge in fine dining and Italian wines. Enjoy hiking, biking, and water sports in the surrounding area.","['Lake', 'Romantic', 'Luxury']",https://storage.googleapis.com/tripedia-images/destinations/lake-como.jpg
lake-district,Lake District National Park,England,Europe,"Nestled in the heart of Cumbria, the Lake District offers breathtaking landscapes with rolling hills, shimmering lakes, and charming villages. Visitors can enjoy hiking, boating, and exploring the literary legacy of Beatrix Potter and William Wordsworth. The region is also known for its delicious local produce and cozy pubs.","['Lake', 'Hiking', 'Rural']",https://storage.googleapis.com/tripedia-images/destinations/lake-district.jpg
lake-garda,Lake Garda,Italy,Europe,"Lake Garda is the largest lake in Italy, known for its stunning scenery, charming towns, and historic sites. Visitors can enjoy swimming, sailing, windsurfing, and hiking in the surrounding mountains. The area is also famous for its lemon groves and olive oil production, offering delicious local cuisine and wine tasting experiences.","['Lake', 'Mountain', 'Food tours']",https://storage.googleapis.com/tripedia-images/destinations/lake-garda.jpg
lake-tahoe,Lake Tahoe,USA,North America,"Lake Tahoe offers a blend of outdoor adventure and stunning natural beauty. Visitors enjoy skiing in the winter and water sports like kayaking and paddleboarding in the summer. The crystal-clear lake, surrounded by mountains, provides breathtaking scenery and a relaxing atmosphere.","['Lake', 'Mountain', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/lake-tahoe.jpg
laos,Laos,Laos,Asia,"Laos is a landlocked country in Southeast Asia, known for its laid-back atmosphere, stunning natural beauty, and ancient temples. Explore the UNESCO World Heritage city of Luang Prabang, kayak down the Mekong River, discover the Kuang Si Falls, and visit the Pak Ou Caves filled with thousands of Buddha statues.","['Off-the-beaten-path', 'Cultural experiences', 'River']",https://storage.googleapis.com/tripedia-images/destinations/laos.jpg
lofoten-islands,Lofoten Islands,Norway,Europe,"Experience the breathtaking beauty of the Arctic Circle with dramatic landscapes, towering mountains, and charming fishing villages. Hike scenic trails, kayak along pristine fjords, and marvel at the Northern Lights. Explore Viking history and indulge in fresh seafood delicacies.","['Island', 'Secluded', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/lofoten-islands.jpg
lombok,Lombok,Indonesia,Asia,"Lombok, Bali's less-crowded neighbor, offers pristine beaches, lush rainforests, and the majestic Mount Rinjani volcano.  Visitors can enjoy surfing, diving, hiking, and exploring the island's cultural attractions.","['Beach', 'Mountain', 'Adventure sports']",https://storage.googleapis.com/tripedia-images/destinations/lombok.jpg
luang-prabang,Luang Prabang,Laos,Asia,"Immerse yourself in the tranquility of Luang Prabang, a UNESCO World Heritage town in Laos. Visit ornate temples like Wat Xieng Thong, witness the alms-giving ceremony at dawn, and explore the night market. Cruise down the Mekong River, discover Kuang Si Falls, and experience the town's spiritual atmosphere.","['Off-the-beaten-path', 'Cultural experiences', 'River']",https://storage.googleapis.com/tripedia-images/destinations/luang-prabang.jpg
madagascar,Madagascar,Madagascar,Africa,"Madagascar, an island nation off the southeast coast of Africa, is a biodiversity hotspot with unique flora and fauna. Explore rainforests, baobab-lined avenues, and pristine beaches. Encounter lemurs, chameleons, and other endemic species, and discover the rich cultural heritage of the Malagasy people. Madagascar offers an unforgettable adventure for nature lovers.","['Island', 'Wildlife watching', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/madagascar.jpg
maldives,Maldives,Maldives,Asia,"The Maldives, a tropical island nation, offers luxurious overwater bungalows, pristine beaches, and world-class diving. Relax on the white sand, swim in the crystal-clear waters, and explore the vibrant coral reefs. The Maldives is the perfect destination for a romantic getaway or a relaxing beach vacation.","['Island', 'Beach', 'Scuba diving']",https://storage.googleapis.com/tripedia-images/destinations/maldives.jpg
mallorca,Mallorca,Spain,Europe,"Mallorca offers a diverse experience, from stunning beaches and turquoise waters to charming villages and rugged mountains. Visitors can explore historic Palma, hike the Serra de Tramuntana, or simply relax on the beach and enjoy the Mediterranean sunshine.","['Beach', 'Island', 'Hiking']",https://storage.googleapis.com/tripedia-images/destinations/mallorca.jpg
malta,Malta,Malta,Europe,"Malta, an archipelago in the central Mediterranean, is a captivating blend of history, culture, and stunning natural beauty. Its ancient temples, fortified cities, and hidden coves attract history buffs and adventurers alike. From exploring the UNESCO-listed capital Valletta to diving in crystal-clear waters, Malta offers a diverse experience for every traveler.","['Island', 'Historic', 'Cultural experiences']",https://storage.googleapis.com/tripedia-images/destinations/malta.jpg
marrakech,Marrakech,Morocco,Africa,"Step into a world of vibrant colours and bustling souks in Marrakech. Explore the historic Medina, with its maze-like alleys and hidden treasures, or marvel at the intricate architecture of mosques and palaces. Indulge in the rich flavours of Moroccan cuisine and experience the unique culture of this magical city.","['Cultural experiences', 'City', 'Shopping']",https://storage.googleapis.com/tripedia-images/destinations/marrakech.jpg
maui,Maui,United States,North America,"Experience the diverse landscapes of Maui, from volcanic craters to lush rainforests and stunning beaches. Drive the scenic Road to Hana, watch the sunrise from Haleakala Crater, or snorkel in Molokini Crater. Enjoy water sports, whale watching, and the island's relaxed vibes.","['Island', 'Road trip', 'Beach']",https://storage.googleapis.com/tripedia-images/destinations/maui.jpg
