Incident_ID,Date,Time,District,City,Latitude,Longitude,Crime_Category,Crime_Type,Crime_Subtype,Description,Victim_Age,Victim_Gender,Suspect_Details,Arrest_Status,Case_Status,Reporting_Agency,Data_Source
INC012,2025-02-12,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",32,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC013,2025-02-13,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",33,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC014,2025-02-14,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",34,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC015,2025-02-15,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",35,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC016,2025-02-16,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",36,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC017,2025-02-17,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",37,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC018,2025-02-18,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",38,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC019,2025-02-19,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",39,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC020,2025-02-20,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",40,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC021,2025-02-01,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",41,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC022,2025-02-02,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",42,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC023,2025-02-03,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",43,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC024,2025-02-04,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",44,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC025,2025-02-05,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",45,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC026,2025-02-06,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",46,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC027,2025-02-07,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",47,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC028,2025-02-08,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",48,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC029,2025-02-09,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",49,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC030,2025-02-10,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",50,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC031,2025-02-11,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",21,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC032,2025-02-12,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",22,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC033,2025-02-13,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",23,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC034,2025-02-14,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",24,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC035,2025-02-15,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",25,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC036,2025-02-16,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",26,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC037,2025-02-17,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",27,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC038,2025-02-18,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",28,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC039,2025-02-19,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",29,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC040,2025-02-20,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",30,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC041,2025-02-01,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",31,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC042,2025-02-02,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",32,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC043,2025-02-03,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",33,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC044,2025-02-04,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",34,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC045,2025-02-05,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",35,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC046,2025-02-06,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",36,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC047,2025-02-07,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",37,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC048,2025-02-08,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",38,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC049,2025-02-09,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",39,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC050,2025-02-10,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",40,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC051,2025-02-11,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",41,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC052,2025-02-12,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",42,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC053,2025-02-13,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",43,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC054,2025-02-14,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",44,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC055,2025-02-15,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",45,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC056,2025-02-16,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",46,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC057,2025-02-17,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",47,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC058,2025-02-18,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",48,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC059,2025-02-19,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",49,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC060,2025-02-20,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",50,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC061,2025-02-01,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",21,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC062,2025-02-02,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",22,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC063,2025-02-03,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",23,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC064,2025-02-04,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",24,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC065,2025-02-05,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",25,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC066,2025-02-06,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",26,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC067,2025-02-07,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",27,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC068,2025-02-08,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",28,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC069,2025-02-09,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",29,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC070,2025-02-10,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",30,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC071,2025-02-11,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",31,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC072,2025-02-12,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",32,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC073,2025-02-13,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",33,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC074,2025-02-14,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",34,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC075,2025-02-15,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",35,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC076,2025-02-16,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",36,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC077,2025-02-17,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",37,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC078,2025-02-18,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",38,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC079,2025-02-19,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",39,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC080,2025-02-20,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",40,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC081,2025-02-01,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",41,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC082,2025-02-02,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",42,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC083,2025-02-03,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",43,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC084,2025-02-04,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",44,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC085,2025-02-05,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",45,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC086,2025-02-06,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",46,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC087,2025-02-07,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",47,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC088,2025-02-08,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",48,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
INC089,2025-02-09,12:30:00,Aurangabad,Aurangabad,19.8762,75.3433,Property,Theft,Residential Theft,"Incident of Theft in Aurangabad reported. Details: Residential Theft occurred.",49,Male,Multiple suspects involved,No,Under Investigation,Aurangabad Police,News Report
INC090,2025-02-10,13:30:00,Thane,Thane,19.2183,72.9781,Violent,Murder,Homicide,"Incident of Murder in Thane reported. Details: Homicide occurred.",50,Female,Suspect identified as local resident,Yes,Closed,Thane Police,News Report
INC091,2025-02-11,14:30:00,Kolhapur,Kolhapur,16.7041,74.2433,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Kolhapur reported. Details: Email Scam occurred.",21,Male,Suspect unknown,No,Open,Kolhapur Police,News Report
INC092,2025-02-12,15:30:00,Solapur,Solapur,17.6599,75.9064,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Solapur reported. Details: Phishing Attack occurred.",22,Female,Multiple suspects involved,Yes,Under Investigation,Solapur Police,News Report
INC093,2025-02-13,16:30:00,Amravati,Amravati,20.9374,77.7892,Property,Theft,Residential Theft,"Incident of Theft in Amravati reported. Details: Residential Theft occurred.",23,Male,Suspect identified as local resident,No,Closed,Amravati Police,News Report
INC094,2025-02-14,17:30:00,Sangli,Sangli,16.8523,74.5815,Violent,Murder,Homicide,"Incident of Murder in Sangli reported. Details: Homicide occurred.",24,Female,Suspect unknown,Yes,Open,Sangli Police,News Report
INC095,2025-02-15,18:30:00,Latur,Latur,18.4000,76.5600,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Latur reported. Details: Email Scam occurred.",25,Male,Multiple suspects involved,No,Under Investigation,Latur Police,News Report
INC096,2025-02-16,19:30:00,Jalgaon,Jalgaon,21.0077,75.5623,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Jalgaon reported. Details: Phishing Attack occurred.",26,Female,Suspect identified as local resident,Yes,Closed,Jalgaon Police,News Report
INC097,2025-02-17,08:30:00,Mumbai,Mumbai,19.0760,72.8777,Property,Theft,Residential Theft,"Incident of Theft in Mumbai reported. Details: Residential Theft occurred.",27,Male,Suspect unknown,No,Open,Mumbai Police,News Report
INC098,2025-02-18,09:30:00,Pune,Pune,18.5204,73.8567,Violent,Murder,Homicide,"Incident of Murder in Pune reported. Details: Homicide occurred.",28,Female,Multiple suspects involved,Yes,Under Investigation,Pune Police,News Report
INC099,2025-02-19,10:30:00,Nagpur,Nagpur,21.1458,79.0882,Cyber,Cyber Extortion,Email Scam,"Incident of Cyber Extortion in Nagpur reported. Details: Email Scam occurred.",29,Male,Suspect identified as local resident,No,Closed,Nagpur Police,News Report
INC100,2025-02-20,11:30:00,Nashik,Nashik,19.9975,73.7898,Fraud,Identity Theft,Phishing Attack,"Incident of Identity Theft in Nashik reported. Details: Phishing Attack occurred.",30,Female,Suspect unknown,Yes,Open,Nashik Police,News Report
