mood,city,state,reason,image_url,preferred_activities,activities_reason
romantic,Kodaikanal,Tamil Nadu,Misty hills and lake boat rides,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Boating, Cycling, Star Gazing, Waterfall Visits, Nature Walks","Offers pedal boat rides on Kodai Lake, tandem cycling around the lake, star gazing at the observatory, visits to Silver Cascade Falls, and walks through the pine forest"
romantic,Shimla,Himachal Pradesh,Colonial architecture and mall road,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Mall Road Walks, Ice Skating, Heritage Tours, Horse Riding, Fine Dining","Famous for evening walks on historic Mall Road, winter ice skating (oldest in South Asia), tours of colonial buildings, horse riding to Jakhu Temple, and dining at historic restaurants"
romantic,Nainital,Uttarakhand,Lake city with romantic boat rides,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Boating, Cable Car Rides, Mall Road Strolls, Photography, Candlelight Dining","Known for rowing boat rides on Naini Lake, scenic cable car rides to Snow View, evening strolls on Mall Road, photography of lake views, and intimate candlelight dining experiences"
romantic,Matheran,Maharashtra,No-vehicle hill station with views,https://images.unsplash.com/photo-1587922546307-776227941871,"Horse Riding, Viewpoint Walks, Hand Cart Rides, Photography, Mini Train Journeys","Offers romantic horse riding tours, walks to panoramic viewpoints, traditional hand cart rides, photography of valley views, and scenic mini train journeys on the Neral-Matheran railway"
romantic,Mussoorie,Uttarakhand,Queen of Hills with romantic walks,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Cable Car Rides, Mall Road Strolls, Waterfall Visits, Photography, Picnics","Features Gunhill cable car rides, evening walks on illuminated Mall Road, visits to Kempty Falls, photography of Doon Valley, and scenic picnics at Cloud's End"
romantic,Shillong,Meghalaya,Scotland of the East with lakes,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Boating, Waterfall Visits, Golf, Cave Exploration, Cultural Tours","Known for boating on Ward's Lake, visits to Elephant Falls, golf at historic Shillong Golf Course, exploration of Mawsmai Caves, and tours of local Khasi villages and culture"
romantic,Kumarakom,Kerala,Backwater resort destination,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Houseboat Cruises, Bird Watching, Ayurvedic Spa, Fishing, Village Tours","Offers luxury houseboat cruises, bird watching at Bird Sanctuary, couples Ayurvedic spa treatments, traditional fishing experiences, and guided tours of Kerala village life"
romantic,Port Blair,Andaman & Nicobar,Island romance with beaches,https://images.unsplash.com/photo-1590050752117-2384a,"Island Hopping, Scuba Diving, Sunset Cruises, Beach Dinners, Historic Tours","Features private island hopping tours, couple's scuba diving experiences, romantic sunset cruises, exclusive beach dinners, and tours of historic Cellular Jail and museums"
romantic,Lavasa,Maharashtra,Planned city with Mediterranean feel,https://images.unsplash.com/photo-1587922546307-776227941871,"Lakeside Walks, Water Sports, Photography, Spa Treatments, Fine Dining","Known for romantic promenade walks, couple's water sports on the lake, photography of colorful buildings, luxury spa treatments, and fine dining with waterfront views"
cultural,Jaipur,Rajasthan,Pink City with rich Rajasthani culture,https://images.unsplash.com/photo-1584552541329-5c8947fdb622,"Fort Tours, Craft Workshops, Folk Performances, Block Printing Classes, Heritage Walks","Famous for guided tours of Amber Fort, traditional craft workshops, Rajasthani folk dance and music shows, hands-on block printing classes, and specialized heritage walks through the old city"
cultural,Kolkata,West Bengal,Cultural capital with art and literature,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"Museum Tours, Literary Walks, Clay Art Workshops, River Cruises, Food Tours","Known for museum tours including Victoria Memorial, walks through College Street book market, traditional clay art workshops, Hooghly River heritage cruises, and Bengali cuisine food tours"
cultural,Mysore,Karnataka,Palace city with classical dance,https://images.unsplash.com/photo-1582036683518-9b7c4155ad06,"Palace Tours, Classical Dance Shows, Silk Market Visits, Incense Making Workshops, Art Gallery Tours","Offers guided Mysore Palace tours, Bharatanatyam and Kathak dance performances, tours of traditional silk markets, sandalwood incense making workshops, and visits to Jaganmohan Art Gallery"
cultural,Hampi,Karnataka,Ancient ruins and temple architecture,https://images.unsplash.com/photo-1582036683518-9b7c4155ad06,"Archaeological Tours, Rock Climbing, Coracle Rides, Temple Photography, Music Sessions","Features guided tours of UNESCO ruins, bouldering and rock climbing, traditional round coracle boat rides, specialized photography of ancient temples, and classical music sessions at Vittala Temple"
cultural,Khajuraho,Madhya Pradesh,Temple art and architecture,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Temple Tours, Dance Festival Visits, Sculpture Workshops, Sound & Light Shows, Archaeological Photography","Known for guided temple art tours, visits during famous dance festivals, stone sculpture workshops, evening sound and light shows, and specialized archaeological photography sessions"
cultural,Lucknow,Uttar Pradesh,Nawabi culture and cuisine,https://images.unsplash.com/photo-1589308454676-72b58c4953c7,"Heritage Walks, Culinary Tours, Chikankari Shopping, Kathak Classes, Historical Reenactments","Offers Nawabi heritage walks, kebab and cuisine trails, shopping for authentic Chikankari embroidery, classical Kathak dance lessons, and historical reenactments at Residency ruins"
cultural,Thanjavur,Tamil Nadu,Classical music and dance center,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Temple Tours, Bronze Casting Workshops, Veena Music Lessons, Classical Dance Shows, Art Gallery Visits","Famous for Brihadeeswarar Temple tours, traditional bronze metal casting workshops, Veena music appreciation sessions, Bharatanatyam dance performances, and visits to Thanjavur Art Gallery"
cultural,Ajanta Caves,Maharashtra,Ancient Buddhist cave paintings,https://images.unsplash.com/photo-1587922546307-776227941871,"Cave Tours, Buddhist Art Workshops, Photography Classes, Meditation Sessions, Nature Walks","Known for guided archaeological cave tours, Buddhist art appreciation workshops, specialized cave painting photography classes, meditation sessions in ancient settings, and scenic nature walks"
cultural,Ellora Caves,Maharashtra,Rock-cut temple architecture,https://images.unsplash.com/photo-1587922546307-776227941871,"Cave Tours, Rock Sculpture Workshops, Archaeological Photography, History Lectures, Nearby Fort Visits","Features guided tours of Hindu, Buddhist and Jain caves, stone sculpture techniques workshops, specialized archaeological photography sessions, expert history talks, and visits to nearby Daulatabad Fort"
cultural,Konark,Odisha,Sun Temple and Odishi dance,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Temple Tours, Dance Performances, Stone Carving Demonstrations, Photography Workshops, Beach Visits","Known for Sun Temple architectural tours, traditional Odissi dance performances, ancient stone carving technique demonstrations, specialized temple photography workshops, and relaxing visits to Chandrabhaga Beach"
cultural,Santiniketan,West Bengal,Tagore's university town,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"University Tours, Baul Music Performances, Batik Workshops, Literary Walks, Rural Fairs","Offers guided Visva Bharati University tours, folk Baul music performances, hands-on Batik art workshops, Rabindranath Tagore literary heritage walks, and experiencing traditional Poush Mela fair"
cultural,Orchha,Madhya Pradesh,Medieval architecture and paintings,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Fort Palace Tours, River Walks, Miniature Painting Classes, Temple Photography, Rural Tourism","Features guided tours of medieval palaces, scenic walks along Betwa River, traditional miniature painting workshops, specialized temple photography sessions, and authentic rural village tourism"
cultural,Mahabalipuram,Tamil Nadu,Shore temple and stone carvings,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Archaeological Tours, Stone Sculpture Workshops, Beach Activities, Dance Performances, Crocodile Farm Visits","Known for UNESCO site archaeological tours, traditional stone sculpture carving workshops, beachside activities, classical dance performances, and educational visits to the crocodile farm"
cultural,Ahmedabad,Gujarat,Heritage city with unique culture,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Heritage Walks, Textile Workshops, Kite Festival, Food Tours, Museum Visits","Famous for UNESCO heritage walks through pols, traditional textile and block printing workshops, participation in vibrant Uttarayan kite festival, Gujarati cuisine food trails, and visits to unique museums like Calico Museum of Textiles"
cultural,Bhubaneswar,Odisha,Temple city with rich traditions,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Temple Tours, Stone Carving Workshops, Classical Dance Lessons, Museum Visits, Tribal Craft Shopping","Renowned for guided tours of ancient temples, traditional Odisha stone carving workshops, Odissi dance classes, visits to Museum of Tribal Arts & Artifacts, and shopping for authentic tribal handicrafts"
festive,Varanasi,Uttar Pradesh,Dev Deepawali celebrations,https://images.unsplash.com/photo-1561361058-c12e04d4fcab,"Ganga Aarti, Lamp Lighting Ceremonies, Cultural Performances, Temple Tours, Boat Cruises","Famous for evening Ganga Aarti rituals, participating in Dev Deepawali lamp lighting along ghats, traditional music and dance performances, visits to ancient temples, and illuminated boat cruises on the Ganges"
festive,Pushkar,Rajasthan,Camel fair and cultural festival,https://images.unsplash.com/photo-1584552541329-5c8947fdb622,"Camel Rides, Cultural Performances, Livestock Trading, Hot Air Balloon Rides, Photography","Known for desert camel safari experiences, traditional Rajasthani folk performances, observation of authentic livestock trading, scenic hot air balloon flights over the fair, and photography of vibrantly decorated camels"
festive,Panaji,Goa,Carnival and Christmas celebrations,https://images.unsplash.com/photo-1587922546307-776227941871,"Carnival Parades, Midnight Mass, Street Parties, Cultural Performances, Food Festivals","Offers colorful carnival parade experiences, traditional Christmas midnight mass attendance, lively street parties with music and dance, Portuguese-influenced cultural performances, and festive season food and wine festivals"
festive,Kolkata,West Bengal,Durga Puja festivities,https://images.unsplash.com/photo-1544634076-c7f7cd955ee3,"Pandal Hopping, Cultural Performances, Food Trails, Artisan Workshops, Festival Photography","Features guided tours of elaborate themed pandals, traditional Bengali cultural performances, street food exploration during festivities, workshops with idol artisans, and specialized photography tours of illuminated venues"
festive,Jaipur,Rajasthan,Teej and elephant festival,https://images.unsplash.com/photo-1584552541329-5c8947fdb622,"Procession Viewing, Elephant Rides, Folk Performances, Mehndi Application, Festival Shopping","Known for viewing colorful Teej processions, decorated elephant rides and ceremonies, traditional Rajasthani folk dance performances, application of festive henna designs, and shopping for Teej festival handicrafts"
festive,Amritsar,Punjab,Baisakhi celebrations,https://images.unsplash.com/photo-1588096344356-9b796388b887,"Gurdwara Visits, Harvest Dances, Langar Participation, Turban Tying, Folk Music Shows","Offers visits to Golden Temple during celebrations, participation in energetic Bhangra and Gidda dances, community kitchen volunteering experiences, traditional turban tying lessons, and vibrant Punjabi folk music performances"
festive,Mumbai,Maharashtra,Ganesh Chaturthi festivities,https://images.unsplash.com/photo-1587922546307-776227941871,"Pandal Visits, Procession Viewing, Modak Making Classes, Aarti Participation, Festival Photography","Features tours of elaborate Ganesh pandals, viewing of immersion processions, workshops for making traditional modak sweets, participation in festival aartis, and guided photography of city-wide celebrations"
festive,Mysore,Karnataka,Dasara celebrations,https://images.unsplash.com/photo-1582036683518-9b7c4155ad06,"Palace Lighting Tours, Procession Viewing, Cultural Performances, Craft Exhibition Visits, Elephant Painting Observation","Famous for illuminated Mysore Palace evening tours, viewing the grand Jumboo Savari procession, traditional music and dance performances, visits to Dasara exhibition of crafts, and observing ceremonial elephant painting rituals"
